IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ORIANA,KOBIETA,698
BERNARDETA,KOBIETA,696
LUCIA,KOBIETA,694
JASMINA,KOBIETA,693
GIULIA,KOBIETA,691
KASANDRA,KOBIETA,689
JASMIN,KOBIETA,688
BENITA,KOBIETA,685
KAREN,KOBIETA,678
SAMANTHA,KOBIETA,678
NATASHA,KOBIETA,674
MELANIE,KOBIETA,674
ELISABETH,KOBIETA,670
NATALYA,KOBIETA,663
NELLA,KOBIETA,661
JESIKA,KOBIETA,658
SYLVIA,KOBIETA,657
LAILA,KOBIETA,656
SOFIJA,KOBIETA,652
LETYCJA,KOBIETA,651
LIZA,KOBIETA,651
NATHALIE,KOBIETA,649
KARIN,KOBIETA,647
EUNIKA,KOBIETA,643
CATHERINE,KOBIETA,642
DAGNA,KOBIETA,642
NOA,KOBIETA,639
SUSANNA,KOBIETA,638
DOBROCHNA,KOBIETA,638
KATHERINE,KOBIETA,634
NELLI,KOBIETA,631
BOZHENA,KOBIETA,630
JESSIKA,KOBIETA,629
BERTA,KOBIETA,624
MARGARYTA,KOBIETA,621
ORYNA,KOBIETA,620
NELL,KOBIETA,618
ELMIRA,KOBIETA,617
YAEL,KOBIETA,614
SAMIRA,KOBIETA,610
LAYLA,KOBIETA,606
VIVIEN,KOBIETA,605
ARIANNA,KOBIETA,602
NIKOLINA,KOBIETA,601
TEKLA,KOBIETA,599
DOMICELA,KOBIETA,595
OXANA,KOBIETA,589
ROZA,KOBIETA,584
JULIANA,KOBIETA,582
CHRISTINA,KOBIETA,579
LESYA,KOBIETA,576
TEREZA,KOBIETA,574
MIROSLAVA,KOBIETA,570
STANISLAVA,KOBIETA,567
ANIA,KOBIETA,564
TATYANA,KOBIETA,562
AIDA,KOBIETA,561
AGNES,KOBIETA,559
ARIADNA,KOBIETA,559
MARIETA,KOBIETA,558
MATILDA,KOBIETA,558
KATHARINA,KOBIETA,557
MIRANDA,KOBIETA,557
ANGELICA,KOBIETA,551
YUSTYNA,KOBIETA,546
JASMINE,KOBIETA,545
ALEVTYNA,KOBIETA,542
GAIA,KOBIETA,540
ALMA,KOBIETA,538
LESŁAWA,KOBIETA,535
JULITTA,KOBIETA,530
MARY,KOBIETA,523
CHRISTINE,KOBIETA,520
NEONILA,KOBIETA,519
MARIJA,KOBIETA,518
NIKOLETA,KOBIETA,518
MIŁOSŁAWA,KOBIETA,517
MARGARET,KOBIETA,515
AUGUSTYNA,KOBIETA,513
CHLOE,KOBIETA,513
RYMMA,KOBIETA,511
ELZA,KOBIETA,508
MARTHA,KOBIETA,507
CHIARA,KOBIETA,505
YEVANHELINA,KOBIETA,501
ISABELLE,KOBIETA,494
JACQUELINE,KOBIETA,492
AMIRA,KOBIETA,492
NASTIA,KOBIETA,488
RYTA,KOBIETA,488
REHINA,KOBIETA,487
MICHAL,KOBIETA,487
ROZWITA,KOBIETA,486
ECATERINA,KOBIETA,483
ISABEL,KOBIETA,482
DOBROMIŁA,KOBIETA,480
AMY,KOBIETA,480
WILHELMINA,KOBIETA,479
VALERIYA,KOBIETA,477
LUCY,KOBIETA,477
EMA,KOBIETA,476
SYLWESTRA,KOBIETA,475
FRANCESCA,KOBIETA,474
IZOLDA,KOBIETA,474
IRENE,KOBIETA,474
RUTH,KOBIETA,472
HALSZKA,KOBIETA,471
RADOSŁAWA,KOBIETA,465
NANA,KOBIETA,462
STEPHANIE,KOBIETA,462
YASMIN,KOBIETA,460
ELIANA,KOBIETA,458
DAIANA,KOBIETA,457
MARYANA,KOBIETA,456
ZLATOSLAVA,KOBIETA,455
HIACYNTA,KOBIETA,455
LEYLA,KOBIETA,453
MARGOT,KOBIETA,453
ERNESTYNA,KOBIETA,452
OLIVIIA,KOBIETA,451
LUISA,KOBIETA,449
RACHEL,KOBIETA,449
LIDIYA,KOBIETA,446
VASILISA,KOBIETA,446
EMILIYA,KOBIETA,443
DEBORA,KOBIETA,443
LADA,KOBIETA,442
SOLOMIYA,KOBIETA,442
IEVGENIIA,KOBIETA,438
ZARINA,KOBIETA,437
MADINA,KOBIETA,437
INESSA,KOBIETA,435
PAOLA,KOBIETA,431
INGRIDA,KOBIETA,430
AISHA,KOBIETA,430
JULIE,KOBIETA,429
AMELIE,KOBIETA,427
JELENA,KOBIETA,424
ANNE,KOBIETA,423
ISMENA,KOBIETA,421
ANNA-MARIIA,KOBIETA,421
NATIA,KOBIETA,421
LIUBOU,KOBIETA,421
SHARON,KOBIETA,413
ANIDA,KOBIETA,411
LYUDMILA,KOBIETA,408
ROSE,KOBIETA,408
EUFEMIA,KOBIETA,404
ANDŻELINA,KOBIETA,404
JESICA,KOBIETA,403
GRACE,KOBIETA,402
DELFINA,KOBIETA,401
BETINA,KOBIETA,400
KSYMENA,KOBIETA,399
CARLA,KOBIETA,399
LUDOMIRA,KOBIETA,398
GRACJA,KOBIETA,398
NADINE,KOBIETA,398
IULIA,KOBIETA,397
LUKRECJA,KOBIETA,396
HELEN,KOBIETA,395
KLAVDIIA,KOBIETA,393
PETRONELA,KOBIETA,390
MALIKA,KOBIETA,390
CAMILA,KOBIETA,388
FRYDERYKA,KOBIETA,386
LOLITA,KOBIETA,385
AMELIIA,KOBIETA,385
ZENAIDA,KOBIETA,385
MIKA,KOBIETA,382
